お金	おかね
お父さん	おとうさん
お母さん	おかあさん
こんな	こんな
さあ	さあ
さん	さん
そう	そう
そんな	そんな
どうも	どうも
もう	もう
もっと	もっと
ゆっくり	ゆっくり
アパート	あぱーと
エレベーター	えれべーたー
カップ	かっぷ
カメラ	かめら
カレー	かれー
カレンダー	かれんだー
キロ	きろ
ギター	ぎたー
クラス	くらす
グラム	ぐらむ
コート	こーと
コップ	こっぷ
シャツ	しゃつ
シャワー	しゃわー
スカート	すかーと
ストーブ	すとーぶ
スプーン	すぷーん
スポーツ	すぽーつ
ズボン	ずぼん
セーター	せーたー
ゼロ	ぜろ
タクシー	たくしー
テーブル	てーぶる
テープ	てーぷ
テスト	てすと
テレビ	てれび
デパート	でぱーと
トイレ	といれ
ドア	どあ
ナイフ	ないふ
ニュース	にゅーす
ネクタイ	ねくたい
ノート	のーと
ハンカチ	はんかち
バス	ばす
バター	ばたー
パーティー	ぱーてぃー
パン	ぱん
フィルム	ふぃるむ
フォーク	ふぉーく
プール	ぷーる
ベッド	べっど
ペン	ぺん
ホテル	ほてる
ボールペン	ぼーるぺん
ポケット	ぽけっと
マッチ	まっち
メートル	めーとる
ラジオ	らじお
レコード	れこーど
レストラン	れすとらん
安い	やすい
一	いち
一つ	ひとつ
飲む	のむ
右	みぎ
駅	えき
円	えん
下手	へた
どうぞ	どうぞ
花	はな
会社	かいしゃ
外国	がいこく
学校	がっこう
学生	がくせい
休み	やすみ
休む	やすむ
空	そら
見せる	みせる
見る	みる
古い	ふるい
五	ご
五つ	いつつ
午後	ごご
午前	ごぜん
後ろ	うしろ
語	ご
口	くち
高い	たかい
今	いま
今月	こんげつ
今週	こんしゅう
左	ひだり
三つ	みっつ
山	やま
四つ	よっつ
時	とき
時間	じかん
耳	みみ
七	なな
車	くるま
手	て
週間	しゅうかん
出す	だす
出る	でる
出口	でぐち
出来る	できる
書く	かく
女	おんな
女の子	おんなのこ
小さい	ちいさい
少し	すこし
上	うえ
上げる	あげる
上手	じょうず
食べる	たべる
新聞	しんぶん
人	じん
水	みず
生まれる	うまれる
西	にし
先	さき
先月	せんげつ
先週	せんしゅう
先生	せんせい
千	せん
前	まえ
足	あし
大学	だいがく
大人	おとな
男	おとこ
男の子	おとこのこ
長い	ながい
天気	てんき
電気	でんき
電車	でんしゃ
電話	でんわ
東	ひがし
道	みち
読む	よむ
南	みなみ
二	に
二つ	ふたつ
日本語	にほんご
入る	はいる
入れる	いれる
買う	かう
白	しろ
白い	しろい
半	はん
半分	はんぶん
百	ひゃく
父	ちち
分	ふん
母	はは
北	きた
本	ほん
毎週	まいしゅう
毎日	まいにち
名前	なまえ
木	き
来る	くる
来月	らいげつ
来週	らいしゅう
来年	らいねん
話す	はなす
何	なに
何	なん
魚	さかな
九	きゅう
行く	いく
今日	きょう
今年	ことし
三	さん
四	よん
十	じゅう
人	ひと
店	みせ
八	はち
毎年	まいとし
万	まん
六	ろく
言う	いう
大きい	おおきい
聞く	きく
国	くに
立つ	たつ
出かける	でかける
話	はなし
分かる	わかる
母さん	かあさん
父さん	とうさん
時	じ
日	にち
年	ねん
いる	いる
人	にん
お茶	おちゃ
悪い	わるい
暗い	くらい
意味	いみ
医者	いしゃ
引く	ひく
映画	えいが
英語	えいご
遠い	とおい
音楽	おんがく
夏	なつ
夏休み	なつやすみ
家族	かぞく
火曜日	かようび
会う	あう
回	かい
海	うみ
開ける	あける
楽しい	たのしい
寒い	さむい
漢字	かんじ
帰る	かえる
起きる	おきる
牛肉	ぎゅうにく
去年	きょねん
強い	つよい
教える	おしえる
教室	きょうしつ
近い	ちかい
近く	ちかく
金曜日	きんようび
銀行	ぎんこう
兄さん	にいさん
兄弟	きょうだい
軽い	かるい
月	つき
月曜日	げつようび
建物	たてもの
犬	いぬ
元気	げんき
ご飯	ごはん
好き	すき
広い	ひろい
考える	かんがえる
黒	くろ
黒い	くろい
有る	ある
作文	さくぶん
仕事	しごと
使う	つかう
始まる	はじまる
姉	あね
姉さん	ねえさん
止まる	とまる
死ぬ	しぬ
私	わたし
持つ	もつ
時計	とけい
自転車	じてんしゃ
自動車	じどうしゃ
自分	じぶん
質問	しつもん
写真	しゃしん
借りる	かりる
弱い	よわい
手紙	てがみ
秋	あき
習う	ならう
住む	すむ
重い	おもい
春	はる
始め	はじめ
暑い	あつい
少ない	すくない
乗る	のる
色	いろ
食べ物	たべもの
食堂	しょくどう
新しい	あたらしい
図書館	としょかん
水曜日	すいようび
青	あお
青い	あおい
赤い	あかい
切る	きる
切手	きって
洗う	あらう
走る	はしる
早い	はやい
多い	おおい
多分	たぶん
太い	ふとい
待つ	まつ
貸す	かす
台所	だいどころ
大きな	おおきな
大好き	だいすき
大使館	たいしかん
大切	たいせつ
短い	みじかい
知る	しる
地図	ちず
茶色	ちゃいろ
着く	つく
着る	きる
昼	ひる
朝	あさ
鳥	とり
低い	ひくい
度	ど
土曜日	どようび
冬	ふゆ
答える	こたえる
働く	はたらく
動物	どうぶつ
同じ	おなじ
肉	にく
日曜日	にちようび
売る	うる
病院	びょういん
病気	びょうき
風	かぜ
服	ふく
物	もの
勉強	べんきょう
歩く	あるく
妹	いもうと
毎朝	まいあさ
明るい	あかるい
木曜日	もくようび
問題	もんだい
夜	よる
野菜	やさい
薬	くすり
有名	ゆうめい
夕べ	ゆうべ
夕方	ゆうがた
洋服	ようふく
旅行	りょこう
料理	りょうり
今朝	けさ
上着	うわぎ
頭	あたま
明日	あした
門	もん
開く	あく
色々	いろいろ
歌う	うたう
思う	おもう
終わる	おわる
買い物	かいもの
作る	つくる
飲み物	のみもの
町	まち
赤	あか
屋	や
小さな	ちいさな
泳ぐ	およぐ
横	よこ
黄色い	きいろい
家庭	かてい
荷物	にもつ
絵	え
階	かい
勤める	つとめる
君	きみ
言葉	ことば
戸	と
公園	こうえん
向こう	むこう
細い	ほそい
皿	さら
歯	は
取る	とる
宿題	しゅくだい
消える	きえる
消す	けす
登る	のぼる
晴れ	はれ
晴れる	はれる
雪	ゆき
全部	ぜんぶ
速い	はやい
地下鉄	ちかてつ
飛ぶ	とぶ
庭	にわ
豚肉	ぶたにく
番号	ばんごう
美味しい	おいしい
鼻	はな
部屋	へや
文章	ぶんしょう
返す	かえす
方	かた
本当	ほんとう
無い	ない
無くす	なくす
鳴く	なく
面白い	おもしろい
遊ぶ	あそぶ
葉書	はがき
留学生	りゅうがくせい
緑	みどり
練習	れんしゅう
一昨日	おととい
一昨年	いっさくねん
黄色	きいろ
昨日	きのう
真っ直ぐ	まっすぐ
側	がわ
弟	おとうと
両親	りょうしん
丸い	まるい
本当に	ほんとうに
番	ばん
お腹	おなか
違う	ちがう
一緒	いっしょ
汚い	きたない
奥さん	おくさん
押す	おす
果物	くだもの
過ぎ	すぎ
皆さん	みなさん
階段	かいだん
覚える	おぼえる
甘い	あまい
危ない	あぶない
机	つくえ
喫茶店	きっさてん
吸う	すう
牛乳	ぎゅうにゅう
狭い	せまい
靴	くつ
靴下	くつした
警官	けいかん
結構	けっこう
結婚	けっこん
個	こ
呼ぶ	よぶ
厚い	あつい
紅茶	こうちゃ
降る	ふる
今晩	こんばん
困る	こまる
座る	すわる
財布	さいふ
咲く	さく
冊	さつ
雑誌	ざっし
子供	こども
辞書	じしょ
若い	わかい
授業	じゅぎょう
初めて	はじめて
寝る	ねる
辛い	つらい
吹く	ふく
生徒	せいと
静か	しずか
切符	きっぷ
洗濯	せんたく
掃除	そうじ
窓	まど
大変	たいへん
置く	おく
遅い	おそい
痛い	いたい
閉まる	しまる
渡す	わたす
渡る	わたる
